web_scraper_order,web_scraper_start_url,nomor_sertifikat,tanggal_terbit,plg_id,nama_pemohon,nama_perangkat,merk,model,nama_pemasaran,negara
1782485218-1,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,122936/DJID/2026,15 Jun 2026,1889,PT  CITRADATA PURNAKHARISMA,Radio Portable / Two Way Radio,MOTOROLA,XiR P6600i,MOTOROLA XiR P6600i UHF 403-470MHz,Malaysia
1782485218-2,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,122867/DJID/2026,15 Jun 2026,16637,PT  MERODITH TECHNOLOGY INDONESIA,TWO WAY RADIO,MERODITH,MD-T20,MERODITH,China
1782485218-3,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,122716/DJID/2026,10 Jun 2026,1889,PT  CITRADATA PURNAKHARISMA,Radio Portable / Two Way Radio,MOTOROLA,XiR C2660,MOTOROLA XiR C2660 UHF 403-470MHz,Malaysia
1782485218-4,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,122152/DJID/2026,22 Mei 2026,1889,PT  CITRADATA PURNAKHARISMA,Radio Portable / Two Way Radio,MOTOROLA,XiR C2660,Motorola XiR C2660 VHF 136-174MHz,Malaysia
1782485218-5,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,122012/DJID/2026,19 Mei 2026,1889,PT  CITRADATA PURNAKHARISMA,Radio Portable / Two Way Radio,MOTOROLA,R5,MOTOROLA R5 UHF 400-470MHz,Malaysia
1782485218-6,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,120367/DJID/2026,07 Apr 2026,15454,PT  ERA KOMUNIKASI NUSANTARA,RADIO PORTABLE / TWO WAY RADIO,talkcom,TC-99S,TC-99S,China
1782485218-7,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,120296/DJID/2026,06 Apr 2026,16637,PT  MERODITH TECHNOLOGY INDONESIA,TWO WAY RADIO,MERODITH,MD-111,MERODITH,China
1782485218-8,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,120293/DJID/2026,06 Apr 2026,16637,PT  MERODITH TECHNOLOGY INDONESIA,TWO WAY RADIO,MERODITH,MD-333,MERODITH,China
1782485218-9,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,119981/DJID/2026,26 Mar 2026,16637,PT  MERODITH TECHNOLOGY INDONESIA,TWO WAY RADIO,MERODITH,MD-222,MERODITH,China
1782485218-10,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,119979/DJID/2026,26 Mar 2026,17612,PT  EASTECH MULTI PERSADA,Two way Radio,ALERVITES,BF-888S,ALERVITES,China
1782485218-11,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,115017/DJID/2025,14 Okt 2025,4083,PT  EKA LANCAR INTERNUSA,Two Way Radio,ICOM,IC-718,ICOM,Japan
1782485218-12,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,113643/DJID/2025,26 Agu 2025,1889,PT  CITRADATA PURNAKHARISMA,Mobile Radio / Two Way Radio,MOTOROLA,XiR M8668i,MOTOROLA XiR M8668i VHF 136-174MHz,Malaysia
1782485218-13,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,112445/DJID/2025,16 Jul 2025,2276,PT  GAJAH MANDALA JAYA,Repeater Two Way Radio,Tait,TB9460,Repeater Two Way Radio,New Zealand
1782485218-14,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,112206/DJID/2025,10 Jul 2025,7499,PT  BAOFENG KOMUNIKASI INDONESIA,Two Way Radio,Baofeng,BF-A58,Baofeng,China
1782485218-15,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,112011/DJID/2025,04 Jul 2025,2276,PT  GAJAH MANDALA JAYA,Repeater Two Way Radio,Tait,TB9460,Repeater Two Way Radio,New Zealand
1782485218-16,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,111133/DJID/2025,11 Jun 2025,13972,PT  HARVE SOLUSI INDONESIA,Two Way Radio,HARVE,HV-88,HV-88,China
1782485218-17,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,111117/DJID/2025,10 Jun 2025,13972,PT  HARVE SOLUSI INDONESIA,Two Way Radio,HARVE,HV-V10,HV-V10,China
1782485218-18,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,110838/DJID/2025,02 Jun 2025,2276,PT  GAJAH MANDALA JAYA,Repeater Two Way Radio,Tait,TB9460,Repeater Two Way Radio,New Zealand
