web_scraper_order,web_scraper_start_url,data,data2,data3,image
1782458402-1,https://www.tokopedia.com/pusatht-official-store/product,Rp2950000,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1MxkRT46TVmruVlJCVhr3PEcTwJ6_z_C6/view?usp=drive_link
1782458402-2,https://www.tokopedia.com/pusatht-official-store/product,Rp2900000,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1IVdzawVByV0i1Sb1Yoz8egSlSzy5HQ1T/view?usp=drive_link
1782458402-3,https://www.tokopedia.com/pusatht-official-store/product,Rp65000000,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1l3SR3TQu6mNZuZ3n8EXRUo0Cd1pJJKdA/view?usp=drive_link
1782458402-4,https://www.tokopedia.com/pusatht-official-store/product,Rp60000000,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1OUPMlNc-noOB9S200WeWD-kPujdz4H5i/view?usp=drive_link
1782458402-5,https://www.tokopedia.com/pusatht-official-store/product,Rp750000,Radio HT Handy Talkie Berlin BL-968 BL 968 VHF & UHF Dual Band Output 10 Watt IP68 Original,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1JwIBwD9zJZM0XIQFeKK4IvvOMY29pD1u/view?usp=drive_link
1782458402-6,https://www.tokopedia.com/pusatht-official-store/product,Rp14995000,Radio HF / SSB / Base Station ICOM IC-718 HF ALL BAND TRANSCEIVER Original Garansi,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1po1Bc43vVqUcQXT_2onboBeHKXSuJPsn/view?usp=drive_link
1782458402-7,https://www.tokopedia.com/pusatht-official-store/product,Rp38622000,Repeater Kenwood NXR-1800 NXR 1800 UHF DMR 40 Watt Garansi  Resmi Indonesia,Hemat s.d  8% Pakai Bonus,https://drive.google.com/file/d/1EFy3SE2wnf_e3LGEpPpj6aFp8szFwm4k/view?usp=drive_link
1782458402-8,https://www.tokopedia.com/pusatht-official-store/product,Rp38622000,Repeater Kenwood NXR-1700 NXR 1700 VHF DMR 50 Watt Garansi  Resmi Indonesia,Hemat s.d  8% Pakai Bonus,https://drive.google.com/file/d/1zQJoogaxJbifFcSK_tuvqnQzuvGK8-OT/view?usp=drive_link
1782458402-9,https://www.tokopedia.com/pusatht-official-store/product,Rp5415000,Radio RiG Mobiel Base Kenwood NX-1800HD NX 1800HD UHF Digital 45 Watt Garansi  Resmi Indonesia,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1ECBv1XfiUhHWtNK08cjRNHY8sam-KZdK/view?usp=drive_link
1782458402-10,https://www.tokopedia.com/pusatht-official-store/product,Rp5415000,Radio RiG Mobiel Base Kenwood NX-1700HD NX 1700HD VHF Digital 50 Watt Garansi  Resmi Indonesia,Hemat s.d  5% Pakai Bonus,https://drive.google.com/file/d/1NvLvu2yIRktOMkAhLhk9ZOsfXxlt_B6y/view?usp=drive_link
1782669556-1,https://shopee.co.id/motorola_telekomunikator#product_list,Rp70000,Motorola versi baru K head air duct walkie-talkie headset cocok untuk C51 C1,-0.5,https://drive.google.com/file/d/1PSqVlAgp3Whg3Hsg0NAodN65EpqpOLZF/view?usp=drive_link
1782669556-2,https://shopee.co.id/motorola_telekomunikator#product_list,Rp62000,Motorola versi baru K head air duct walkie-talkie headset cocok untuk C51 C1,-0.5,https://drive.google.com/file/d/1k6IrVSNytGyLf8AJ_pdGgga8EgBiVe7m/view?usp=drive_link
1782669556-3,https://shopee.co.id/motorola_telekomunikator#product_list,Rp595000,HT Motorola GP338 Plus Walkie Talkie Handy Talky outdoor 15Watt 20KM FM radio copy frequency Garansi 12 bulan,-0.46,https://drive.google.com/file/d/1sN-Wl2-u8EvaI5CloF_toneXvBjs2teA/view?usp=drive_link
1782669556-4,https://shopee.co.id/motorola_telekomunikator#product_list,Rp377000,HT Motorola R7plus / MOTOROLA Handy Talky Radio HT/ 10Watt IP54 9800MaH Antena Radio HT TWO WAY Radio HT Walkie Talkie Walky,-0.37,https://drive.google.com/file/d/1VkSKlGzysA9FyPuGxAKcgerCBCz45IXY/view?usp=drive_link
1782669556-5,https://shopee.co.id/motorola_telekomunikator#product_list,Rp635000,HT Motorola 370plus IP68 Tahan Air Walkie-Talkie with 20KM Range and Full Band Support - Type-C Fast Charging Ideal for Large Areas Like Palm Tree Farms,>90% off,https://drive.google.com/file/d/1aCkZEMjD6i94e5-3qF3941uuThshPZl7/view?usp=drive_link
1782669556-6,https://shopee.co.id/motorola_telekomunikator#product_list,Rp625000,HT Motorola GP450 IP68 Tahan Air Walkie-Talkie with 20KM Range and Full Band Support - Type-C Fast Charging Ideal for Large Areas Like,-0.52,https://drive.google.com/file/d/1JZGNetVnJIQ9T6W_zai2uyUC3_rm6w5A/view?usp=drive_link
