idx_listing,idx_djid,rank,judul_listing,identitas_djid,cosine_faiss,brand_listing,brand_djid,label,perlu_review
0,231,1,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,Voxter UV-X5 ( 136-174 Mhz & 400-430 Mhz ),0.75950104,motorola,voxter,0,0
0,687,2,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,Simoco EMEA SDP760 T1,0.747165084,motorola,simoco emea,0,0
0,733,3,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,KENWOOD NX-220 (136-174 MHz),0.745211959,motorola,kenwood,0,0
0,373,4,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,Motorola MagOne A8 VHF 150-174 MHz,0.737988472,motorola,motorola,0,0
0,488,5,Radio HT Handy Talky MagOne by Motorola X10d Analog Digital DMR VHF / UHF Mag One Garansi resmi,MOTOROLA SL1M,0.727530718,motorola,motorola,0,0
1,401,1,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,ICOM IC-F44GT (FREQ.400-430MHz),0.746258378,icom,icom,0,0
1,308,2,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,ICOM IC-F5023H FREQ. 136-174MHz,0.743495107,icom,icom,0,0
1,285,3,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,ICOM IC-F5023H FREQ. 136-174MHz,0.743495107,icom,icom,0,0
1,1242,4,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,TAIT TB8200 (762 - 870 MHz),0.737111628,icom,tait,0,0
1,205,5,Radio HT ICOM IC-V88 VHF Walkie Talkie 5W Output Power IP67 Resmi Garansi 1 Tahun Antena,ICOM IC-V80 (Freq. 136-174 MHz),0.734911799,icom,icom,0,1
2,314,1,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M504 (Freq. 156.025 - 163.275 MHz),0.881614685,icom,icom,0,0
2,395,2,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M36 (Freq. 156.025 - 163.275 MHz),0.877589881,icom,icom,0,0
2,286,3,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M36 (Freq. 156.025 - 163.275 MHz),0.877589881,icom,icom,0,0
2,412,4,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M422,0.83348155,icom,icom,0,0
2,284,5,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-GM800 GM 800 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Transceiver / IC-F3003 (136 - 174 MHz),0.780908823,icom,icom,0,0
3,314,1,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M504 (Freq. 156.025 - 163.275 MHz),0.893673122,icom,icom,0,0
3,395,2,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M36 (Freq. 156.025 - 163.275 MHz),0.887572289,icom,icom,0,0
3,286,3,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M36 (Freq. 156.025 - 163.275 MHz),0.887572289,icom,icom,0,0
3,412,4,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Marine Transceiver / IC-M422,0.850542486,icom,icom,0,0
3,284,5,Radio HF / SSB/ Base Station Marine Kapal ICOM IC-M804 M 804 VHF MARINE TRANSCEIVER satu Paket dengan AT-141 Dan OPC-1465 Garansi Resmi 1 Tahun IPX7 100% ORIGINAL,ICOM VHF Transceiver / IC-F3003 (136 - 174 MHz),0.776365876,icom,icom,0,0
4,1222,1,Radio HT Handy Talkie Berlin BL-968 BL 968 VHF & UHF Dual Band Output 10 Watt IP68 Original,BERLIN BL-889,0.784043372,berlin,berlin,0,0
4,33,2,Radio HT Handy Talkie Berlin BL-968 BL 968 VHF & UHF Dual Band Output 10 Watt IP68 Original,BERLIN BL-889,0.784043372,berlin,berlin,0,0
